reports_count,upvotes,downvotes,hours_since_update,condition_rating,distance_m,is_verified,recommendation_score
4,14,3,124.1059768769799,5,2129.850582608865,0,93.61293833952477
1,7,3,37.13479533813921,1,6217.337998375619,0,43.31774360086843
3,13,1,100.35712387893606,5,4199.975119679955,0,99.80839625042394
3,13,3,6.401360068567495,3,5046.701960674619,1,84.38002595252577
2,10,4,32.678459842395235,2,9515.908926671653,0,50.87208337341261
3,9,2,29.31324082498329,2,4208.15227728782,1,73.28336390403193
2,3,3,0.39129331334133344,5,8818.003138184547,1,79.75444169260304
3,7,1,28.111303633358,4,6610.839739419127,1,95.3532894740356
0,6,0,22.103835602545384,5,1224.9783925484262,1,100.0
2,9,1,53.18653894128866,5,7447.625296110719,1,95.20561524508923
4,12,1,133.72579677735405,1,5206.888648823585,0,44.653993733141306
2,13,3,4.30541592022662,4,2258.7215314159657,1,98.88896932693012
1,8,1,19.0424666606673,5,2902.597737592158,1,100.0
3,6,4,28.180964432297355,3,5577.750923260005,0,66.75364416239444
4,11,4,29.150864897426935,2,6021.007876556472,1,61.5542193398781
4,10,1,71.55885835307433,3,9682.082276254505,1,64.29370717944447
1,6,1,28.123230866887454,3,8548.654162741826,1,67.23440216156395
2,6,1,1.3217754232027468,3,2066.3344770828094,1,95.96357439514894
3,4,3,59.4352016308943,4,7742.1807849657835,0,74.40296426432297
2,10,3,103.74448004690734,4,92.83516343493895,0,90.4304935531732
3,14,2,34.62482926018607,4,1306.7865270397886,1,100.0
4,8,2,41.76688292514244,2,2005.0071565021692,1,77.52541818512546
1,10,4,8.537053068998748,1,5976.021533064788,1,60.518454575297135
3,11,1,11.965912156552864,5,1954.9032129388652,1,100.0
3,15,2,12.868896226730818,5,3659.076690932718,1,100.0
3,12,2,27.044230868756415,1,2435.3700235993742,1,73.57498592193795
5,7,2,126.38919137504405,5,3380.7920775558337,0,97.0414897801315
0,7,3,35.40932971183804,3,9425.08993289332,0,52.769614685521276
1,9,2,10.239075637690954,2,9973.789762428347,1,50.55382945417602
4,7,1,14.849557856095037,5,6860.363841578452,1,92.39577273836599
3,8,3,23.257570303394022,2,5727.355635842252,1,65.06033028921156
1,8,2,46.85746875654961,1,7087.393979704669,0,45.220639537506955
7,9,2,27.8341295423186,5,7718.805482184895,1,94.08908797352882
3,12,4,23.918991187700037,2,7392.737308659049,1,66.33816257393573
4,15,0,39.9257056950644,3,828.106356718048,1,96.65787562532142
2,9,5,13.289003149104591,3,3109.8312586748725,1,84.89035404972351
1,7,1,3.9451307473617505,1,3440.8795040796,1,66.46563020532233
4,9,1,1.186429708201203,4,3698.852196759911,1,90.13152692933797
4,7,2,13.889393663078032,5,3449.6946487289047,1,100.0
1,13,1,4.6109615848117125,3,7873.052051528773,1,81.18990618345236
2,11,1,19.679341006113354,3,7478.5706321649395,1,71.08348362453616
3,15,0,71.16060146904164,1,55.95702589759134,1,79.25266175550748
5,9,1,60.47126175275738,3,2970.851419712243,1,87.68702922718941
5,9,1,45.31151486398884,5,6240.3998413754025,1,94.88646123625853
3,7,1,91.86858031794357,1,1211.4535636681073,0,62.5117556524946
2,13,1,15.906235150637649,2,721.2709619104686,1,84.19386979206847
3,11,0,103.83795252213338,1,8285.697213789832,0,40.21135529336505
3,5,3,24.458802072562264,5,4532.31587899897,1,99.05470228411328
1,14,1,24.591148656131274,5,8558.316805529326,1,79.38276469829928
6,8,2,24.949679778453586,2,8237.29174449389,1,67.4579982589053
1,12,1,4.955778397674819,1,8934.77151618445,1,55.293788772235516
5,5,1,178.01733184287494,5,492.2628899708643,0,96.20056583915257
4,6,1,7.156228344711174,5,1869.4393604227619,1,100.0
3,9,1,20.009200897473605,2,2968.470212370191,1,74.7399882563135
2,7,4,18.46243531740852,4,1370.9415745002227,1,93.0059832271955
3,10,5,3.7255220347383036,1,4859.843509649285,1,61.29349388317037
2,8,1,7.928709477948097,5,7991.779131490195,1,91.28867837630584
6,11,0,2.2029893006239067,3,9512.30629038855,1,70.74981497523717
2,9,3,16.602368022785512,2,8896.845603419895,1,52.70881990234743
6,7,4,96.71183776456945,4,4578.793433357925,0,73.10203465309124
3,11,4,19.904191587437975,4,6368.546102695813,1,88.29867078124121
0,10,4,6.337798081530016,2,2314.654273252042,1,74.55657288499089
5,6,3,49.80451012691616,4,4036.0599093198794,1,90.4829195483894
0,12,2,272.8439104699271,5,8713.11412824583,0,72.40782951920032
6,9,0,12.690587312935907,4,301.683244974613,1,100.0
2,15,3,15.739604089516172,1,5332.265133708309,1,56.0244475237424
4,7,3,171.36495773782667,3,8729.254996011223,0,48.256440844340865
3,11,2,9.454066506696865,5,1228.878639769097,1,100.0
5,11,1,34.359871253751955,2,9825.636557491709,1,64.56849727943242
